"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"22373050","https://www.airbnb.com/rooms/22375870","Scottsdale","-111.892892215079","33.5269439467168","https://maps.google.com/maps?q=33.52694394671675582,-111.89289221507871730","Agua Linda- Fully upgraded home w/ heated pool option, air hockey & free wifi!","8","2","3","1","366","0","Chelsea"
"22373608","https://www.airbnb.com/rooms/22376434","Phoenix","-111.967342089651","33.4494389801913","https://maps.google.com/maps?q=33.44943898019128881,-111.96734208965114021","Nifty Central","2","1","1","1","50","0","Rashad"
"22373675","https://www.airbnb.com/rooms/22376493","Phoenix","-111.995915885834","33.5033970307642","https://maps.google.com/maps?q=33.50339703076419795,-111.99591588583417945","Wake up and Walk to Arcadia's LGO/Postino's","3","1","1","1",(NULL),"0","Kurt"
"22375079","https://www.airbnb.com/rooms/22377969","Mesa","-111.875030342453","33.4247031805424","https://maps.google.com/maps?q=33.42470318054244416,-111.87503034245257538","House, pool, Tempe Mesa border, 2 miles Scottsdale","7","2","3","1","85","0","Kelly"
"22375193","https://www.airbnb.com/rooms/22378067","Fountain Hills","-111.723625733444","33.5860640470554","https://maps.google.com/maps?q=33.58606404705541593,-111.72362573344432235","Kingstree Home +INCREDIBLE views +pool","6","3","3","1","300","0","Leili"
"22380150","https://www.airbnb.com/rooms/22382966","Scottsdale","-111.935349330043","33.486839100741","https://maps.google.com/maps?q=33.48683910074100822,-111.93534933004337972","6738 East Osborn Rd","1","1","1","0",(NULL),"0","Jonathan"
"22381015","https://www.airbnb.com/rooms/22383848","Scottsdale","-111.925612083668","33.4937598631305","https://maps.google.com/maps?q=33.49375986313050646,-111.92561208366755920","Studio Appartment Old Town Scottsdale GREAT VIEW","4","1","0","1","13","0","Kali"
"22382858","https://www.airbnb.com/rooms/22385662","Scottsdale","-111.913003763974","33.4798466305947","https://maps.google.com/maps?q=33.47984663059468602,-111.91300376397383332","Stunning Old Town Scottsdale Condo Modern Remodel","6","2.5","2","1","125","1","Adam"
"22382961","https://www.airbnb.com/rooms/22385751","Phoenix","-112.070095099632","33.4666940376918","https://maps.google.com/maps?q=33.46669403769181628,-112.07009509963228311","Modern 1BR near Downtown PHX #1073 by WanderJaunt","4","1","1","1","90","1","WanderJaunt"
"22383510","https://www.airbnb.com/rooms/22386287","Phoenix","-112.070085281887","33.4669416656203","https://maps.google.com/maps?q=33.46694166562031825,-112.07008528188673324","1BR | Heated Pool | Museums #1066 by WanderJaunt","4","1","1","1","90","1","WanderJaunt"
"22384808","https://www.airbnb.com/rooms/22387398","Phoenix","-112.069932254626","33.4589331238018","https://maps.google.com/maps?q=33.45893312380184881,-112.06993225462629482","Delightful Stay Alfred at Linear","3","1","1","1","26","0","Stay Alfred"
"22384954","https://www.airbnb.com/rooms/22387590","Phoenix","-112.071381216801","33.4574466300233","https://maps.google.com/maps?q=33.45744663002330554,-112.07138121680124243","Captivating Stay Alfred at Linear","3","1","1","1","26","0","Stay Alfred"
"22384962","https://www.airbnb.com/rooms/22387462","Phoenix","-112.070104868588","33.4591521168934","https://maps.google.com/maps?q=33.45915211689344204,-112.07010486858845866","Beautiful Stay Alfred at Linear","3","1","1","1","26","0","Stay Alfred"
"22385004","https://www.airbnb.com/rooms/22387683","Phoenix","-112.07077915531","33.4584227789089","https://maps.google.com/maps?q=33.45842277890886862,-112.07077915530950918","Breathtaking Stay Alfred at Linear","5","2","2","1","26","0","Stay Alfred"
"22385296","https://www.airbnb.com/rooms/22387935","Phoenix","-112.069846026722","33.4586096041751","https://maps.google.com/maps?q=33.45860960417506647,-112.06984602672172002","Incredible Stay Alfred at Linear","5","2","2","1","26","0","Stay Alfred"
"22385324","https://www.airbnb.com/rooms/22387966","Phoenix","-112.070771861745","33.4570196965734","https://maps.google.com/maps?q=33.45701969657341124,-112.07077186174522865","Phenomenal Stay Alfred at Linear","5","2","2","1","26","0","Stay Alfred"
"22385424","https://www.airbnb.com/rooms/22388049","Phoenix","-112.071121777366","33.4576514281109","https://maps.google.com/maps?q=33.45765142811087856,-112.07112177736580350","Fantastic Stay Alfred at Linear","5","2","2","1","26","0","Stay Alfred"
